iter	Passed	Remaining
0	12	424
1	24	409
2	26	284
3	39	304
4	46	278
5	58	282
6	70	283
7	83	282
8	96	279
9	108	271
10	121	265
11	135	259
12	150	254
13	157	236
14	172	229
15	186	221
16	200	212
17	213	201
18	217	182
19	229	172
20	243	162
21	260	153
22	269	140
23	285	130
24	300	120
25	315	109
26	329	97
27	341	85
28	353	73
29	366	61
30	380	49
31	394	36
32	406	24
33	420	12
34	433	0
